numero_partido,votos_legenda,nome_partido,sigla_partido
55,55,Partido Social Democrático,PSD
20,101,Partido Social Cristão,PSC
23,75,Cidadania,CIDADANIA
70,464,AVANTE,AVANTE
27,40,Democracia Cristã,DC
12,119,Partido Democrático Trabalhista,PDT
22,76,Partido Liberal,PL
28,23,Partido Renovador Trabalhista Brasileiro,PRTB
90,13,Partido Republicano da Ordem Social,PROS
13,93,Partido dos Trabalhadores,PT
45,937,Partido da Social Democracia Brasileira,PSDB
51,60,Patriota,PATRIOTA
40,289,Partido Socialista Brasileiro,PSB
14,95,Partido Trabalhista Brasileiro,PTB
36,0,,
11,133,PROGRESSISTAS,PP
25,78,Democratas,DEM
19,46,Podemos,PODE
10,115,REPUBLICANOS,REPUBLICANOS
